YEAR,ENERGY,INDUSTRIAL PROCESSES AND PRODUCT USE,AGRICULTURE,WASTE
1990,36300,318,7900,590
1991,35700,412,7900,610
1992,40900,339,8600,630
1993,43300,436,9000,640
1994,47500,452,9700,660
1995,49500,453,10000,680
1996,50800,550,11000,690
1997,53700,590,11000,710
1998,54100,568,11000,720
1999,54800,538,11000,740
2000,55800,640,11000,750
2001,54800,703,11000,770
2002,55600,688,10000,780
2003,55300,707,12000,790
2004,56100,770,12000,810
2005,55100,789,13000,820
2006,54700,827,12000,840
2007,56400,793,12000,850
2008,56600,744,13000,850
2009,56700,712,12000,860
2010,57100,725,11000,890
2011,56000,891,11000,900
2012,57600,829,12000,920
2013,59500,877,13000,850
